anio,mes_nro,mes,jurisdiccion,apellido_nombre,cargo,asignacion_mensual
2016,1,Enero,Presidencia de la Nación,"Macri, Mauricio",Presidente,131421.89
2016,1,Enero,Presidencia de la Nación,"Michetti, Gabriela Marta",Vice-presidente ,121686.59
2016,1,Enero,Modernización,Ibarra Andres Horacio,Ministro,115938.72
2016,1,Enero,Jefatura de Gabinete,Peña Marcos,Ministro,115938.72
2016,1,Enero,Agroindustria,Buryaile Ricardo,Ministro,115842.3
2016,1,Enero,"Ciencia, Tecnología E Innovación Productiva","Barañao, Jose Lino Salvador",Ministro,115836.0
2016,1,Enero,Comunicaciones,Aguad Oscar Raul,Ministro,217056.82
2016,1,Enero,Defensa,"Martinez, Julio Cesar",Ministro,115842.31
2016,1,Enero,Hacienda y Finanzas Públicas,De Prat Gay Alfonso,Ministro,115842.3
2016,1,Enero,Educación y Deportes,"Bullrich, Esteban Jose",Ministro,115842.3
2016,1,Enero,Energía y Minería,Aranguren Juan Jose,Ministro,196931.9
2016,1,Enero,Salud,Lemus Jorge Daniel,Ministro,115842.31
2016,1,Enero,Seguridad,Bullrich Patricia,Ministro,115842.3
2016,1,Enero,"Interior, Obras Públicas y Vivienda",Frigerio Rogelio,Ministro,160131.69
2016,1,Enero,Desarrollo Social,Stanley Carolina,Ministro,115842.31
2016,1,Enero,Justicia y Derechos Humanos,Garavano German Carlos,Ministro,115842.32
2016,1,Enero,Relaciones Exteriores y Culto,Malcorra Susana Mabel,Ministro,115842.31
2016,1,Enero,"Trabajo, Empleo y Seguridad Social","Triaca, Alberto Jorge",Ministro,115842.3
2016,1,Enero,Ambiente y Desarrollo Sustentable,Bergman Sergio Alejandro,Ministro,115842.32
2016,1,Enero,Cultura,"Avelluto, Alejandro Pablo",Ministro,115842.29
2016,1,Enero,Transporte,Dietrich Guillermo Javier,Ministro,160131.69
2016,1,Enero,Turismo,Santos Jose Gustavo,Ministro,115842.3
2016,2,Febrero,Presidencia de la Nación,"Macri, Mauricio",Presidente,131421.89
2016,2,Febrero,Presidencia de la Nación,"Michetti, Gabriela Marta",Vice-presidente ,121686.59
2016,2,Febrero,Comunicaciones,Aguad Oscar Raul,Ministro,123862.3
2016,2,Febrero,Energía y Minería,Aranguren Juan Jose,Ministro,115842.3
2016,2,Febrero,Cultura,"Avelluto, Alejandro Pablo",Ministro,115842.29
2016,2,Febrero,"Ciencia, Tecnología E Innovación Productiva","Barañao, Jose Lino Salvador",Ministro,115836.0
2016,2,Febrero,Ambiente y Desarrollo Sustentable,Bergman Sergio Alejandro,Ministro,115842.32
2016,2,Febrero,Seguridad,Bullrich Patricia,Ministro,115842.3
2016,2,Febrero,Educación y Deportes,"Bullrich, Esteban Jose",Ministro,115842.3
2016,2,Febrero,Agroindustria,Buryaile Ricardo,Ministro,115842.3
2016,2,Febrero,Producción,Cabrera Francisco Adolfo,Ministro,115842.3
2016,2,Febrero,Hacienda y Finanzas Públicas,De Prat Gay Alfonso,Ministro,115842.3
2016,2,Febrero,Transporte,Dietrich Guillermo Javier,Ministro,115842.3
2016,2,Febrero,"Interior, Obras Públicas y Vivienda",Frigerio Rogelio,Ministro,115842.3
2016,2,Febrero,Justicia y Derechos Humanos,Garavano German Carlos,Ministro,115842.32
2016,2,Febrero,Modernización,Ibarra Andres Horacio,Ministro,115938.72
2016,2,Febrero,Salud,Lemus Jorge Daniel,Ministro,115842.31
2016,2,Febrero,Relaciones Exteriores y Culto,Malcorra Susana Mabel,Ministro,115842.31
2016,2,Febrero,Defensa,"Martinez, Julio Cesar",Ministro,115842.31
2016,2,Febrero,Jefatura de Gabinete,Peña Marcos,Ministro,115938.72
2016,2,Febrero,Turismo,Santos Jose Gustavo,Ministro,115842.3
2016,2,Febrero,Desarrollo Social,Stanley Carolina,Ministro,115842.31
2016,2,Febrero,"Trabajo, Empleo y Seguridad Social","Triaca, Alberto Jorge",Ministro,115842.3
2016,3,Marzo,Presidencia de la Nación,"Macri, Mauricio",Presidente,131421.89
2016,3,Marzo,Presidencia de la Nación,"Michetti, Gabriela Marta",Vice-presidente ,121686.59
2016,3,Marzo,Agroindustria,Buryaile Ricardo,Ministro,115842.3
2016,3,Marzo,Ambiente y Desarrollo Sustentable,Bergman Sergio Alejandro,Ministro,115842.32
2016,3,Marzo,"Ciencia, Tecnología E Innovación Productiva","Barañao, Jose Lino Salvador",Ministro,115836.0
2016,3,Marzo,Comunicaciones,Aguad Oscar Raul,Ministro,115842.3
2016,3,Marzo,Cultura,"Avelluto, Alejandro Pablo",Ministro,115842.29
2016,3,Marzo,Defensa,"Martinez, Julio Cesar",Ministro,115842.31
2016,3,Marzo,Desarrollo Social,Stanley Carolina,Ministro,115842.31
2016,3,Marzo,Educación y Deportes,"Bullrich, Esteban Jose",Ministro,115842.3
2016,3,Marzo,Energía y Minería,Aranguren Juan Jose,Ministro,115842.3
2016,3,Marzo,Hacienda y Finanzas Públicas,De Prat Gay Alfonso,Ministro,115842.3
2016,3,Marzo,"Interior, Obras Públicas y Vivienda",Frigerio Rogelio,Ministro,115842.3
2016,3,Marzo,Jefatura de Gabinete,Peña Marcos,Ministro,115938.72
2016,3,Marzo,Justicia y Derechos Humanos,Garavano German Carlos,Ministro,115842.32
2016,3,Marzo,Modernización,Ibarra Andres Horacio,Ministro,115938.72
2016,3,Marzo,Producción,Cabrera Francisco Adolfo,Ministro,115842.3
2016,3,Marzo,Relaciones Exteriores y Culto,Malcorra Susana Mabel,Ministro,115842.31
2016,3,Marzo,Salud,Lemus Jorge Daniel,Ministro,115842.31
2016,3,Marzo,Seguridad,Bullrich Patricia,Ministro,115842.3
2016,3,Marzo,"Trabajo, Empleo y Seguridad Social","Triaca, Alberto Jorge",Ministro,115842.3
2016,3,Marzo,Transporte,Dietrich Guillermo Javier,Ministro,115842.3
2016,3,Marzo,Turismo,Santos Jose Gustavo,Ministro,123862.3
2016,4,Abril,Presidencia de la Nación,"Macri, Mauricio",Presidente,131421.89
2016,4,Abril,Presidencia de la Nación,"Michetti, Gabriela Marta",Vice-presidente ,121686.59
2016,4,Abril,Agroindustria,Buryaile Ricardo,Ministro,123862.3
2016,4,Abril,Ambiente y Desarrollo Sustentable,Bergman Sergio Alejandro,Ministro,115842.32
2016,4,Abril,"Ciencia, Tecnología E Innovación Productiva","Barañao, Jose Lino Salvador",Ministro,115836.0
2016,4,Abril,Comunicaciones,Aguad Oscar Raul,Ministro,115842.3
2016,4,Abril,Cultura,"Avelluto, Alejandro Pablo",Ministro,115842.29
2016,4,Abril,Defensa,"Martinez, Julio Cesar",Ministro,123862.31
2016,4,Abril,Desarrollo Social,Stanley Carolina,Ministro,115842.31
2016,4,Abril,Educación y Deportes,"Bullrich, Esteban Jose",Ministro,115842.3
2016,4,Abril,Energía y Minería,Aranguren Juan Jose,Ministro,115842.3
2016,4,Abril,Hacienda y Finanzas Públicas,De Prat Gay Alfonso,Ministro,115842.3
2016,4,Abril,"Interior, Obras Públicas y Vivienda",Frigerio Rogelio,Ministro,115842.3
2016,4,Abril,Jefatura de Gabinete,Peña Marcos,Ministro,115938.72
2016,4,Abril,Justicia y Derechos Humanos,Garavano German Carlos,Ministro,115842.32
2016,4,Abril,Modernización,Ibarra Andres Horacio,Ministro,115938.72
2016,4,Abril,Producción,Cabrera Francisco Adolfo,Ministro,115842.3
2016,4,Abril,Relaciones Exteriores y Culto,Malcorra Susana Mabel,Ministro,115842.31
2016,4,Abril,Salud,Lemus Jorge Daniel,Ministro,115842.31
2016,4,Abril,Seguridad,Bullrich Patricia,Ministro,115842.3
2016,4,Abril,"Trabajo, Empleo y Seguridad Social","Triaca, Alberto Jorge",Ministro,115842.3
2016,4,Abril,Transporte,Dietrich Guillermo Javier,Ministro,115842.3
2016,4,Abril,Turismo,Santos Jose Gustavo,Ministro,123862.3
